drug_id,drug_name,atc_code
CID100002806,Clopidogrel,B01AC04
CID100002809,Clorazepate,
CID100002812,Clotrimazole,A01AB18
CID100002812,Clotrimazole,D01AC01
CID100002812,Clotrimazole,G01AF02
CID100002818,Clozapine,N05AH02
CID100002826,Cocaine,N01BC01
CID100002826,Cocaine,R02AD03
CID100002826,Cocaine,S01HA01
CID100002826,Cocaine,S02DA02
CID100002828,Codeine,R05DA04
CID100002833,Colchicine,M04AC01
CID100002881,Sodium,A07EB01
CID100002881,Sodium,D11AH03
CID100002881,Sodium,R01AC01
CID100002881,Sodium,R03BC01
CID100002881,Sodium,S01GX01
CID100002883,Crotamiton,
CID100002891,Cyanocobalamin,B03BA01
CID100002895,Cyclobenzaprine,M03BX08
CID100002905,Cyclopentolate,S01FA04
CID100002907,Cyclophosphamide,L01AA01
CID100002909,V,L04AD01
CID100002909,V,S01XA18
CID100002913,Cyproheptadine,R06AX02
CID100002914,Cyproterone,
CID100002949,Danazol,G03XA01
CID100002951,Dantrolene,M03CA01
CID100002955,Dapsone,D10AX05
CID100002955,Dapsone,J04BA02
CID100002958,Anthracycline,L01DB02
CID100002972,Deferiprone,V03AC02
CID100002973,Deferoxamine,V03AC01
CID100002978,Delta,A04AD10
CID100002995,Desipramine,N06AA01
CID100003000,Desoximetasone,D07AC03
CID100003000,Desoximetasone,D07XC02
CID100003003,Dexamethasone,A01AC02
CID100003003,Dexamethasone,A07EA04
CID100003003,Dexamethasone,C05AA05
CID100003003,Dexamethasone,C05AA09
CID100003003,Dexamethasone,D07AB19
CID100003003,Dexamethasone,D07AC01
CID100003003,Dexamethasone,D07XB05
CID100003003,Dexamethasone,D07XC01
CID100003003,Dexamethasone,D10AA03
CID100003003,Dexamethasone,H02AB01
CID100003003,Dexamethasone,H02AB02
CID100003003,Dexamethasone,R01AD03
CID100003003,Dexamethasone,R01AD06
CID100003003,Dexamethasone,R03BA04
CID100003003,Dexamethasone,S01BA01
CID100003003,Dexamethasone,S01BA06
CID100003003,Dexamethasone,S01CB01
CID100003003,Dexamethasone,S01CB04
CID100003003,Dexamethasone,S02BA06
CID100003003,Dexamethasone,S02BA07
CID100003003,Dexamethasone,S03BA01
CID100003003,Dexamethasone,S03BA03
CID100003007,Amphetamine,N06BA01
CID100003007,Amphetamine,N06BA02
CID100003008,Dextromethorphan,R05DA09
CID100003009,Dfmo,D11AX16
CID100003009,Dfmo,P01CX03
CID100003015,Cyproterone,G03HA01
CID100003016,Diazepam,N05BA01
CID100003019,Diazoxide,C02DA01
CID100003019,Diazoxide,V03AH01
CID100003032,Diclofenac,D11AX18
CID100003032,Diclofenac,M01AB05
CID100003032,Diclofenac,M02AA15
CID100003032,Diclofenac,S01BC03
CID100003038,Dichlorphenamide,S01EC02
CID100003040,Dicloxacillin,J01CF01
CID100003042,Dicyclomine,A03AA07
CID100003043,Didanosine,J05AF02
CID100003053,Diethylenetriaminepentaacetic,
CID100003056,Diflorasone,
CID100003059,Diflunisal,N02BA11
CID100003060,Epitopic,D07AC19
CID100003062,Digoxin,C01AA05
CID100003063,Dihydrocodeine,N02AA08
CID100003066,Dihydroergotamine,N02CA01
CID100003075,Diltiazem,C08DB01
CID100003080,Dimercaprol,V03AB09
CID100003100,Diphenhydramine,D04AA32
CID100003100,Diphenhydramine,N04AB01
CID100003100,Diphenhydramine,R06AA02
CID100003105,Dipivefrin,S01EA02
CID100003108,Dipyridamole,B01AC07
CID100003114,Disopyramide,C01BA03
CID100003117,Disulfiram,N07BB01
CID100003117,Disulfiram,P03AA04
CID100003121,Valproate,N03AG01
CID100003125,Alpha-Methyl-P-Tyrosine,C02KB01
CID100003143,Docetaxel,L01CD02
CID100003148,Dolasetron,A04AA04
CID100003151,Domperidone,A03FA03
CID100003152,Donepezil,N06DA02
CID100003154,Dorzolamide,S01EC03
CID100003155,Dothiepin,N06AA16
CID100003156,Doxapram,R07AB01
CID100003157,Doxazosin,C02CA04
CID100003158,Doxepin,N06AA12
CID100003168,Droperidol,N01AX01
CID100003168,Droperidol,N05AD08
CID100003171,L-Threo-Dops,
CID100003182,Dyphylline,R03DA01
CID100003198,Econazole,D01AC03
CID100003198,Econazole,G01AF05
CID100003199,Trabectedin,L01CX01
CID100003202,Edrophonium,
CID100003203,Efavirenz,J05AG03
CID100003209,Eicosapentaenoic,
CID100003219,Emedastine,S01GX06
CID100003222,Cas,C09AA02
CID100003226,Enflurane,N01AB04
CID100003241,Epinastine,R06AX24
CID100003241,Epinastine,S01GX10
CID100003249,Vitamin,A11CC01
CID100003250,Ergonovine,G02AB03
CID100003251,Ergotamine,N02CA02
CID100003255,Erythromycin,D10AF02
CID100003255,Erythromycin,J01FA01
CID100003255,Erythromycin,S01AA17
CID100003256,Monomycin,
CID100003261,Estazolam,N05CD04
CID100003263,Estradiol,
CID100003267,Estradiol,
CID100003268,Estramustine,
CID100003269,Estriol,G03CA04
CID100003269,Estriol,G03CC06
CID100003278,Ethacrynic,C03CC01
CID100003279,Ethambutol,J04AK02
CID100003291,Ethosuximide,N03AD01
CID100003292,Ethotoin,N03AB01
CID100003305,Etidronate,M05BA01
CID100003308,Etodolac,M01AB08
CID100003310,Etoposide,L01CB01
CID100003324,Famciclovir,J05AB09
CID100003324,Famciclovir,S01AD07
CID100003325,Famotidine,A02BA03
CID100003331,Felbamate,N03AX10
CID100003333,Felodipine,C08CA02
CID100003339,Fenofibrate,C10AB05
CID100003340,Fenoldopam,C01CA19
CID100003342,Fenoprofen,M01AE04
CID100003345,Fentanyl,N01AH01
CID100003345,Fentanyl,N02AB03
CID100003348,Fexofenadine,R06AX26
CID100003350,Finasteride,D11AX10
CID100003350,Finasteride,G04CB01
CID100003354,Flavoxate,G04BD02
CID100003355,Flecainide,C01BC04
CID100003363,Fdurd,
