drug_name,gene,level_of_evidence
Paclitaxel,CYP2C8,3
"Fluvoxamine,Milnacipran,Paroxetine",HTR1A,3
Haloperidol,DTNBP1,3
Iloperidone,NRG3,3
Iloperidone,NUBPL,3
Iloperidone,CELF4,3
Iloperidone,CERKL,3
Verapamil,NOS1AP,3
Measles Vaccines,TLR3,3
Methamphetamine,PICK1,3
"Docetaxel,Thalidomide",CHST3,3
Docetaxel,PIK3CA,3
Antipsychotics,"CLCN6,MTHFR",3
"Bisphosphonates,Clodronate,Etidronic Acid,Risedronate,Tiludronate",IL1B,3
Cyclophosphamide,CYP2B6,3
Risperidone,DRD3,3
Risperidone,HTR2A,3
Methotrexate,TYMS,3
"Carboplatin,Paclitaxel",DSCAM,3
Doxorubicin,ABCC2,3
"Docetaxel,Thalidomide",PPARD,3
"Docetaxel,Thalidomide",ABCC6,3
Platinum Compounds,"ERCC1,POLR1G,PPP1R13L",3
"Antidepressants,Citalopram,Fluoxetine",SERPINE1,3
Cyclophosphamide,CYP3A4,3
Pramipexole,DRD3,3
Rifampin,NR1I2,3
Risperidone,COMT,3
Risperidone,GRM3,3
Ritonavir,APOC3,3
Rosiglitazone,LPIN1,3
"Sulfonamides, Urea Derivatives",TCF7L2,3
Montelukast,ABCC1,3
Methotrexate,ABCC1,3
Methotrexate,ABCG2,3
Irbesartan,APOB,3
"Atorvastatin,Pravastatin,Simvastatin",HTR3B,3
Caffeine,CYP1A2,3
Methotrexate,FPGS,3
Nitrous Oxide,MTHFR,3
"Atorvastatin,Hmg-Coa Reductase Inhibitors,Pravastatin,Simvastatin",HTR7,3
Methotrexate,NALCN,3
Methotrexate,ARID5B,3
Methotrexate,MTHFR,3
"Antipsychotics,Clozapine,Olanzapine",DRD2,3
Antihypertensives And Diuretics In Combination,NOS3,3
"Antidepressants,Desipramine,Fluoxetine",BDNF,3
Repaglinide,TCF7L2,3
Phenytoin,EPHX1,3
Fexofenadine,ABCB1,3
"Docetaxel,Thalidomide",CYP4B1,3
"Docetaxel,Thalidomide",SLC10A2,3
"Docetaxel,Thalidomide",SPG7,3
"Docetaxel,Thalidomide",ATP7A,3
"Docetaxel,Thalidomide",NAT2,3
"Docetaxel,Thalidomide",SULT1C4,3
"Docetaxel,Thalidomide","RPL13,SNORD68,SPG7",3
Docetaxel,PRDX4,3
Docetaxel,EPHX1,3
Docetaxel,XRCC4,3
Paroxetine,ADM,3
Clodronate,VDR,3
Methotrexate,ADORA2A,3
"Cyclophosphamide,Doxorubicin,Fluorouracil,Methotrexate",NOS3,3
"Budesonide,Flunisolide,Fluticasone Propionate,Glucocorticoids,Nedocromil,Triamcinolone",GLCCI1,3
Verapamil,"KCNIP1,KCNMB1",3
Duloxetine,DRD3,3
Leflunomide,ESR1,3
"Conjugated Estrogens,Medroxyprogesterone",ESR1,3
"Atenolol,Verapamil",CACNA1C,3
Metoprolol,GRK4,3
Tenofovir,ABCC10,3
"Interferon Alfa-2A, Recombinant,Peginterferon Alfa-2B",IDO1,3
"Interferon Beta-1A,Interferon Beta-1B",HLA-DQA1,3
"Antiinflammatory Agents, Non-Steroids",AGT,3
"Amoxicillin,Clavulanate",HLA-DQB1,3
Coumarin,CYP2A6,3
Nicotine,CYP2A6,3
Antipsychotics,COMT,3
"Cyclophosphamide,Doxorubicin",CYP2B6,3
"Antihypertensives,Antihypertensives And Diuretics In Combination,Diuretics",NOS3,3
Efavirenz,CYP3A4,3
Repaglinide,CYP2C8,3
"Atorvastatin,Hmg-Coa Reductase Inhibitors,Rosuvastatin",COQ2,3
Cerivastatin,RYR2,3
Amiodarone,NOS1AP,3
Methotrexate,SHMT1,3
"Calcium Channel Blockers,Nitrendipine",KCNH2,3
