gene,type,level_of_evidence
COL26A1,Toxicity,3
UGT1A,Other,3
UGT1A,Toxicity,3
CYP1A1,Efficacy,3
HTR2C,Toxicity,3
ABCC4,Efficacy,3
TNFRSF1A,Efficacy,3
NOD2,Efficacy,3
A2M,Efficacy,3
PRCP,Efficacy,3
PEAR1,Efficacy,3
HTR1B,Other,3
SLC22A1,Other,3
SRP19,Efficacy,3
REEP5,Efficacy,3
G6PD,Toxicity,3
HTR1B,Toxicity,3
GRIN2B,Toxicity,3
FKBP5,Toxicity,3
AKT1,Efficacy,3
GSTM1,Toxicity,3
GNAS,Efficacy,3
TGFBR3,Efficacy,3
ZNF804A,Efficacy,3
ADRB2,Efficacy,3
CYP11B2,Efficacy,3
VEGFA,Efficacy,3
EIF3A,Efficacy,3
CDA,Other,3
TBXT,Efficacy,3
DCK,Other,3
TGFB1,Efficacy,3
SLCO1B1,Dosage,3
SV2C,Efficacy,3
SLC22A2,Other,3
OPRM1,Toxicity,3
BCL2,Toxicity,3
SOX10,Toxicity,3
GRK5,Efficacy,3
RFK,Efficacy,3
WNK1,Efficacy,3
HSPG2,Toxicity,3
GABRG3,Toxicity,3
ADRB2,Toxicity,3
PRKCA,Efficacy,3
MEX3C,Toxicity,3
PARD3B,Toxicity,3
DPYD,Efficacy,3
DCBLD1,Efficacy,3
SERPINA3,Efficacy,3
SLC39A14,Efficacy,3
RBMS3,Efficacy,3
ABCC4,Toxicity,3
CSRNP3,Toxicity,3
ALDH1A2,Efficacy,3
CLOCK,Efficacy,3
SLC12A3,Efficacy,3
SLC30A8,Efficacy,3
OASL,Efficacy,3
TPMT,Toxicity,3
PEAR1,Toxicity,3
SLC22A12,Toxicity,3
CYP2E1,Toxicity,3
SULT2B1,Toxicity,3
CYP2D6,Other,3
XDH,Toxicity,3
NT5C2,Toxicity,3
DRD2,Other,3
CYP3A5,Other,3
UGT2B15,Efficacy,3
NPPA-AS1,Efficacy,3
UGT1A1,Toxicity,3
IL6,Efficacy,3
SLC22A5,Efficacy,3
UGT1A1,Other,3
RRM2,Efficacy,3
RRM2B,Efficacy,3
RRM1,Efficacy,3
ABCC11,Toxicity,3
SFRP5,Toxicity,3
DHFR,Efficacy,3
PTPRC,Efficacy,3
CDKN2B-AS1,Toxicity,3
HLA-A,Toxicity,3
IFNL3,Efficacy,3
BDNF-AS,Efficacy,3
SLCO2B1,Efficacy,3
SLC29A1,Toxicity,3
SLC31A1,Efficacy,3
TBC1D32,Toxicity,3
MAP3K1,Efficacy,3
SLC22A16,Dosage,3
ABCC2,Dosage,3
TNFAIP3,Efficacy,3
STK39,Efficacy,3
EPB41,Efficacy,3
ALDH1A1,Toxicity,3
TOP1,Toxicity,3
C5,Efficacy,3
SLC6A4,Efficacy,3
SLC6A4,Toxicity,3
NR3C2,Efficacy,3
ACE,Other,3
ADH1C,Efficacy,3
TPMT,Efficacy,3
MUTYH,Toxicity,3
ERCC5,Efficacy,3
LIG3,Toxicity,3
GCG,Other,3
DCK,Toxicity,3
SLC28A3,Other,3
DCK,Efficacy,3
GATA3,Efficacy,3
FPGS,Dosage,3
BMP5,Efficacy,3
PLCD3,Efficacy,3
TANC1,Toxicity,3
GRM3,Other,3
HLA-DRB1,Toxicity,3
MYLIP,Efficacy,3
ATIC,Toxicity,3
SLC29A1,Efficacy,3
CAPG,Toxicity,3
ACTG1,Toxicity,3
PSORS1C3,Toxicity,3
POU5F1,Toxicity,3
KCNQ5,Toxicity,3
BCL2L11,Efficacy,3
PPARA,Other,3
ATP7B,Efficacy,3
OPRD1,Other,3
GAL,Other,3
PTGS2,Toxicity,3
PLA2G4A,Toxicity,3
GALNT2,Toxicity,3
GALNT2,Other,3
FTO,Toxicity,3
,Other,3
DBH,Other,3
BDNF,Other,3
HLA-G,Efficacy,3
HLA-B,Toxicity,3
HLA-DQA1,Toxicity,3
ITGB3,Efficacy,3
HLA-B,Efficacy,3
PPARA,Dosage,3
UGT1A9,Efficacy,3
CNR1,Other,3
NR1I2,Metabolism/PK,3
CFH,Dosage,3
E2F7,Efficacy,3
E2F7,Toxicity,3
CREB1,Efficacy,3
GSTM3,Metabolism/PK,3
ANKK1,Metabolism/PK,3
CYP2C9,Toxicity,3
CYP2D6,Metabolism/PK,3
XBP1,"Efficacy,Toxicity",3
ABCC2,"Toxicity,Metabolism/PK",3
UGT1A6,"Efficacy,Toxicity",3
TBC1D1,Toxicity,3
ADH1B,Metabolism/PK,3
SLC22A1,Metabolism/PK,3
DHFR,Toxicity,3
SLC6A2,Efficacy,3
TBXA2R,Efficacy,3
CXCL8,Efficacy,3
DAPK1,Toxicity,3
IL2,Efficacy,3
CYP2B6,"Efficacy,Toxicity",3
ABCB1,"Efficacy,Toxicity",3
GSTA1,Efficacy,3
HLA-C,Efficacy,3
DPYD,Toxicity,3
ENOSF1,Toxicity,3
GRIN1,Toxicity,3
DRD1,Toxicity,3
CA10,Efficacy,3
IL11,Efficacy,3
AREG,Efficacy,3
UGT1A1,Efficacy,3
CYP3A5,"Dosage,Toxicity",3
HLA-DPB1,Toxicity,3
GRIK1,"Efficacy,Metabolism/PK",3
ORM2,Metabolism/PK,3
KCNJ11,Efficacy,3
ABCC2,Metabolism/PK,3
ERCC3,Efficacy,3
XPA,Efficacy,3
ERCC4,Efficacy,3
APLF,Efficacy,3
ERCC2,Toxicity,3
CXXC4,Efficacy,3
WNT5B,Efficacy,3
WIF1,Efficacy,3
AXIN2,Efficacy,3
MTR,Toxicity,3
NEDD4L,Efficacy,3
FOLR3,Efficacy,3
ERCC2,Efficacy,3
EXO1,Efficacy,3
UMPS,Efficacy,3
